omega,amp_mean,weight_mean,cluster_k3,cluster_k4,cluster_k5
3.2600000000000002,0.026711181251773783,0.0008701771883349826,1,0,1
3.27,0.02670337487464925,0.0008596253819355001,1,0,1
3.2800000000000002,0.026695615484808147,0.000849332283038805,1,0,1
3.29,0.026687902452116732,0.000839293279875784,1,0,1
3.3000000000000003,0.026680235154176068,0.000829503697480105,1,0,1
3.31,0.02667261297620169,0.0008199588068449425,1,0,1
3.3200000000000003,0.026665035310893304,0.0008106538338607291,1,0,1
3.33,0.0266575015583179,0.0008015839680089851,1,0,1
3.34,0.026650011125784655,0.0007927443708122057,1,0,1
3.35,0.026642563427731237,0.0007841301840130177,1,0,1
3.36,0.02663515788560581,0.0007757365374782485,1,0,1
3.37,0.02662779392775637,0.0007675585568207164,1,0,1
3.38,0.02662047098931662,0.000759591370718414,1,0,1
3.39,0.026613188512100507,0.0007518301179336586,1,0,1
3.4,0.026605945944491675,0.00074426995402416,1,0,1
3.41,0.026598742741340047,0.0007369060577318694,1,0,1
3.42,0.02659157836386139,0.0007297336370575468,1,0,1
3.43,0.0265844522795318,0.0007227479350105603,1,0,1
3.44,0.02657736396199103,0.0007159442350342829,1,0,1
3.45,0.026570312890945504,0.000709317866106379,1,0,1
3.46,0.026563298552071533,0.0007028642075143512,1,0,1
3.47,0.026556320436923228,0.0006965786933077674,1,0,1
3.48,0.02654937804283661,0.0006904568164298944,1,0,1
3.49,0.02654247087284516,0.0006844941325329064,1,0,1
3.5,0.02653559843558644,0.0006786862634797005,1,0,1
3.5100000000000002,0.026528760245216262,0.0006730289005376904,1,0,1
3.52,0.02652195582132405,0.0006675178072717674,1,0,1
3.5300000000000002,0.02651518468884774,0.0006621488221431007,1,0,1
3.54,0.026508446377993357,0.0006569178608193286,1,0,3
3.5500000000000003,0.026501740424150964,0.0006518209182065927,1,0,3
3.56,0.026495066367817437,0.0006468540702109116,1,0,3
3.5700000000000003,0.02648842375451932,0.0006420134752364607,1,0,3
3.58,0.026481812134732233,0.0006372953754352771,1,0,3
3.59,0.026475231063810174,0.0006326960977108188,1,0,3
3.6,0.02646868010190928,0.0006282120544933335,1,0,3
3.61,0.02646215881391447,0.0006238397442919203,1,0,3
3.62,0.026455666769370906,0.0006195757520363054,1,0,3
3.63,0.026449203542410548,0.0006154167492196152,1,0,3
3.64,0.02644276871168619,0.0006113594938515438,1,0,3
3.65,0.026436361860302245,0.0006074008302341932,1,0,3
3.66,0.026429982575749644,0.0006035376885709722,1,0,3
3.67,0.026423630449838708,0.000599767084419792,1,0,3
3.68,0.026417305078637394,0.0005960861180011548,1,0,3
3.69,0.026411006062406043,0.0005924919733715681,1,0,3
3.7,0.02640473300553682,0.0005889819174738463,1,0,3
3.71,0.026398485516493698,0.0005855532990734645,1,0,3
3.72,0.0263922632077507,0.0005822035475922365,1,0,3
3.73,0.026386065695734782,0.0005789301718472922,1,0,3
3.74,0.02637989260076709,0.0005757307587075797,1,0,3
3.75,0.026373743547007316,0.0005726029716745918,1,0,3
3.7600000000000002,0.026367618162397834,0.0005695445493976458,1,0,3
3.77,0.02636151607860813,0.0005665533041320073,1,0,3
3.7800000000000002,0.026355436930981954,0.0005636271201474658,1,0,3
3.79,0.026349380358482964,0.0005607639520962399,1,0,3
3.8000000000000003,0.026343346003645386,0.00055796182334587,1,0,3
3.81,0.026337333512520007,0.0005552188242870814,1,0,3
3.8200000000000003,0.026331342534625934,0.0005525331106191223,1,0,3
3.83,0.02632537272290019,0.000549902901622895,1,0,3
3.84,0.026319423733650375,0.0005473264784247228,1,0,3
3.85,0.026313495226505685,0.000544802182257977,1,0,3
3.86,0.026307586864369466,0.0005423284127267866,1,0,3
3.87,0.02630169831337501,0.0005399036260762195,1,0,3
3.88,0.02629582924284051,0.0005375263334741688,1,0,3
3.89,0.02628997932522124,0.0005351950993081909,1,0,3
3.9,0.026284148236069026,0.0005329085395008418,1,0,3
3.91,0.02627833565398711,0.0005306653198470455,1,0,3
3.92,0.026272541260589935,0.0005284641543755776,1,0,3
3.93,0.026266764740458158,0.0005263038037390134,1,0,3
3.94,0.026261005781101462,0.0005241830736317816,1,0,3
3.95,0.026255264072915327,0.000522100813240558,1,0,3
3.96,0.026249539309142342,0.0005200559137278182,1,0,3
3.97,0.026243831185834517,0.0005180473067492625,1,0,3
3.98,0.026238139401813357,0.0005160739630078383,1,0,3
3.99,0.02623246365863162,0.0005141348908438286,1,0,3
4.0,0.02622680366053848,0.0005122291348623713,1,0,3
4.01,0.02622115911444201,0.0005103557745993475,1,0,3
4.0200000000000005,0.026215529729872213,0.0005085139232252095,1,0,3
4.03,0.026209915218946132,0.000506702726287354,1,0,3
4.04,0.02620431529633588,0.0005049213604906462,1,0,3
4.05,0.026198729679230356,0.0005031690325171642,1,0,3
4.0600000000000005,0.026193158087304096,0.0005014449778830572,1,0,3
4.07,0.026187600242683986,0.0004997484598337872,1,0,3
4.08,0.026182055869916523,0.0004980787682762336,1,0,3
4.09,0.0261765246959354,0.0004964352187483443,1,0,3
4.1,0.026171006450031238,0.0004948171514237661,1,0,3
4.11,0.026165500863818757,0.000493223930152802,1,0,3
4.12,0.026160007671208997,0.000491654941537565,1,0,3
4.13,0.026154526608376073,0.0004901095940412971,1,0,3
4.14,0.026149057413730574,0.0004885873171304369,1,0,3
4.15,0.026143599827889323,0.00048708756044889224,1,0,3
4.16,0.026138153593645866,0.0004856097930238864,1,0,3
4.17,0.026132718455945846,0.00048415350250134785,1,0,3
4.18,0.026127294161853686,0.00048271819441190577,1,0,3
4.19,0.026121880460532,0.00048130339146405083,1,0,3
4.2,0.02611647710320907,0.00047990863286590635,1,0,3
4.21,0.02611108384315645,0.0004785334736728554,1,0,3
4.22,0.026105700435660528,0.0004771774841614406,1,0,3
4.23,0.026100326637999452,0.00047584024922730595,1,0,3
4.24,0.026094962209414967,0.00047452136780812363,1,0,3
4.25,0.026089606911091145,0.00047322045232806953,1,0,3
4.26,0.026084260506126597,0.0004719371281659271,1,0,3
4.2700000000000005,0.026078922759514324,0.0004706710331431555,1,0,3
4.28,0.026073593438114443,0.00046942181703354285,1,0,3
4.29,0.02606827231063337,0.00046818914109167907,1,0,3
4.3,0.026062959147600748,0.00046697267760081754,1,0,3
4.3100000000000005,0.0260576537213454,0.0004657721094387266,1,0,3
